verdict,direction,url
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-ulf-kristersson-m-aldrig-haft-ett-jobb-utanfor-politiken/
ingen,unknown,https://www.dn.se/nyheter/politik/livefaktakoll-riksdagsdebatten-13-juni/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-gothia-cup-gjort-islam-till-ny-vardegrund-och-forklarat-griskott-haram/
mestadels fel,false,https://www.dn.se/ekonomi/mestadels-fel-om-att-attendo-plockade-ut-649-miljoner-i-vinst/
delvis sant,true,https://www.dn.se/ekonomi/sa-mycket-stammer-de-virala-bilderna-om-sveriges-hoga-bensinpriser/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-pasta-att-sd-rostade-nej-till-samtyckeslagen/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-katolska-kyrkan-nekades-ringa-klockor/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-det-ar-forbjudet-med-utlandska-flaggor-i-norge/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-sveriges-salda-brunkolsgruvor-inte-langre-expanderar/
mestadels fel,false,https://www.dn.se/nyheter/politik/faktiskt-mestadels-fel-om-hur-manga-utlandska-valdtaktsman-som-utvisas/
mestadels fel,false,https://www.dn.se/nyheter/politik/mestadels-fel-av-isabella-lovin-om-isavsmaltningen-i-arktis/
ingen,unknown,https://www.dn.se/nyheter/politik/livefaktakoll-partiledardebatten-i-agenda/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-video-visade-shariademonstration-i-malmo/
delvis sant,true,https://www.dn.se/nyheter/politik/delvis-sant-att-mer-an-halften-av-alla-beslut-i-kommunerna-kommer-fran-eu/
helt fel,false,https://www.dn.se/nyheter/politik/gulan-avci-l-tog-bort-felaktig-tweet-om-syrienflyktingar/
delvis sant,true,https://www.dn.se/nyheter/politik/faktiskt-delvis-sant-att-varlden-ar-mer-konfliktfylld-an-pa-lange/
helt fel,false,https://www.dn.se/nyheter/politik/moderaterna-om-los-film-helt-oacceptabelt/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-svenskt-naringslivs-vd-gar-i-pension-vid-60-ar/
helt fel,false,https://www.dn.se/nyheter/politik/faktiskt-helt-fel-att-liberalerna-ar-ensamma-om-vilja-forbjuda-religiosa-friskolor/
helt sant,true,https://www.dn.se/nyheter/politik/faktiskt-helt-sant-att-det-i-dag-finns-farre-poliser-an-nar-regeringen-tilltradde/
helt fel,false,https://www.svd.se/nej-fridolin-tog-inte-regeringsplanet-till-ungern
helt fel,false,https://www.svd.se/faktagranskning-sd-har-fel-om-sveriges-vardkoer
mestadels fel,false,https://www.svd.se/faktagranskning-lovin-har-mestadels-fel-om-sds-bistand
mestadels fel,false,https://www.svd.se/missvisande-om-billig-tandvard-for-asylsokande
mestadels fel,false,https://www.svd.se/strandhall-har-fel-om-sd-i-pensionsbrak
delvis sant,true,https://www.svd.se/lofven-har-delvis-ratt-om-sds-skattesankningar
helt fel,false,https://www.svd.se/ls-rattspolitiker-har-helt-fel-om-personer-som-inte-vagar-vittna
mestadels fel,false,https://www.svd.se/bjorklund-har-fel-om-sjunkande-skolresultat
mestadels fel,false,https://www.svd.se/trump-har-fel-om-handel-med-europa
helt fel,false,https://www.svd.se/faktagranskning-dansk-tv-har-helt-fel-om-bilbranderna
delvis sant,true,https://www.svd.se/gar-det-att-fuska-i-valet-genom-att-bara-sloja
delvis sant,true,https://www.svd.se/delvis-sant-av-sd-om-klimatatgarder
delvis sant,true,https://www.svd.se/lofven-och-akesson-i-budgetbrak-vem-har-ratt
oklart,unknown,https://www.svd.se/har-s-gjort-en-miljardmiss-om-polisen
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6936909
helt sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6945868
helt fel,false,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6953066
helt fel,false,https://sverigesradio.se/sida/artikel.aspx?programid=406&artikel=6958403
helt fel/delvis sant,unknown,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6963034
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=406&artikel=6976606
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6967770
fel,false,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7019644
helt sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7032322
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7036365
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=6994232
helt fel,false,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7043638
helt sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7062515
oklart,unknown,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7070783
delvis sant,true,https://sverigesradio.se/sida/artikel.aspx?programid=5184&artikel=7099255
mestadels fel,false,https://www.svt.se/nyheter/inrikes/margot-wallstrom-har-mestadels-fel-om-att-svenska-vapen-inte-far-saljas-till-lander-i-krig
helt fel,false,https://www.svt.se/nyheter/inrikes/nmr-har-helt-fel-om-zyklon-b-anvandes-visst-for-att-massmorda-manniskor
helt fel,false,https://www.svt.se/nyheter/inrikes/nordiska-motstandsrorelsen-har-helt-fel-om-forintelsen
ingen,unknown,https://www.svt.se/nyheter/inrikes/faktakollen-granskar-ulf-kristersson-pa-moderaternas-dag
delvis sant,true,https://www.svt.se/nyheter/inrikes/trafiklandstingsradet-kristoffer-tamsons-m-har-delvis-ratt-om-situationen-i-tunnelbanan
mestadels fel,false,https://www.svt.se/nyheter/inrikes/riksdagsledamoten-har-mestadels-fel-om-att-elcykel-bidrag-gynnar-storstadsbor
helt fel,false,https://www.svt.se/nyheter/inrikes/nej-det-blir-inte-slojtvang-i-kommunala-forskolor-om-socialdemokraterna-far-bestamma
mestadels fel,false,https://www.svt.se/nyheter/inrikes/bjorklund-har-mestadels-fel-om-lofvens-uttalande-om-militarer-i-fororten
delvis sant,true,https://www.svt.se/nyheter/inrikes/ar-plastpasen-verkligen-samre-for-miljon-an-tygkassen
mestadels fel,false,https://www.svt.se/nyheter/inrikes/myndigheten-prv-har-mestadels-fel-om-kriminella-natverk-bakom-piratstreaming
delvis sant,true,https://www.svt.se/nyheter/inrikes/isabella-lovin-har-delvis-ratt-om-karnkraften-och-vindkraftens-kostnader
mestadels fel,false,https://www.svt.se/nyheter/inrikes/socialdemokraterna-missvisande-om-att-alliansen-ska-sanka-skatten-med-100-miljarder
delvis sant,true,https://www.svt.se/nyheter/inrikes/delvis-sant-att-bara-1-av-5-utlandska-valdtaktsman-utvisas
mestadels fel,false,https://www.svt.se/nyheter/inrikes/jonas-sjostedt-missvisande-om-hur-mycket-kassorskor-och-miljardarer-skattar
ingen,unknown,https://www.svt.se/nyheter/inrikes/faktakollen-reder-ut-pastaenden-i-svt-s-skoldebatt
helt fel,false,https://www.svt.se/nyheter/inrikes/polsk-tv-sprider-falska-nyheter-om-sverige-efter-skogsbranderna
mestadels fel,false,https://www.svt.se/nyheter/inrikes/miljopartiet-har-mestadels-fel-om-att-isbjornarna-svalter
delvis sant,true,https://www.svt.se/nyheter/inrikes/moderaterna-har-delvis-ratt-om-de-svenska-klimatutslappen
delvis sant,true,https://www.svt.se/nyheter/inrikes/ulla-andersson-v-har-delvis-ratt-om-fattigpensionarer
delvis sant,true,https://www.svt.se/nyheter/inrikes/delvis-sant-att-anlagda-skolbrander-okat-men-varfor-ar-oklart
fel,false,https://www.svt.se/nyheter/inrikes/nej-man-kan-inte-saga-att-sverige-slar-varldsrekord-i-anlagda-skolbrander
helt fel,false,https://www.svt.se/nyheter/inrikes/helt-fel-att-skolbrander-beraknas-kosta-uppat-en-miljard
helt fel,false,https://www.svt.se/nyheter/inrikes/helt-fel-av-skl-om-bluffakturor
mestadels fel,false,https://www.svt.se/nyheter/vetenskap/darfor-ar-pastaendet-om-att-alkohol-kan-vara-nyttigt-mestadels-fel
delvis sant,true,https://www.svt.se/nyheter/inrikes/ebba-busch-thor-har-delvis-ratt-om-vardkoer
fel,false,https://www.svt.se/nyheter/vetenskap/darfor-ar-pastaendet-om-att-svenskarna-har-rekordlagt-fortroende-for-masslingsvaccinet-fel
delvis sant,true,https://www.svt.se/nyheter/inrikes/socialdemokraterna-har-delvis-ratt-om-sverigedemokraterna-och-sambeskattning
delvis sant,true,https://www.svt.se/nyheter/inrikes/tva-tredjedelar-av-varldens-vilda-djur-kommer-kanske-ha-dott-pa-50-ar
helt fel,false,https://www.svt.se/nyheter/inrikes/gar-inte-att-saga-om-sd-ledamoter-ar-mer-kriminella-an-invandrare
mestadels fel,false,https://www.svt.se/nyheter/inrikes/moderaterna-har-mestadels-fel-om-svenska-elevers-undervisningstimmar
oklart,unknown,https://www.svt.se/nyheter/vetenskap/faktiskt-oklart-om-din-mobil-gor-dig-somnlos
delvis sant,true,https://www.svt.se/nyheter/inrikes/ebba-busch-thor-kd-har-delvis-ratt-om-no-go-zoner
helt fel,false,https://www.svt.se/nyheter/inrikes/klimatministern-har-faktiskt-helt-fel-om-utslappen
helt fel,false,https://www.svt.se/nyheter/inrikes/nej-barn-som-vaxer-upp-med-samkonade-foraldrar-far-inte-identitetsproblem
oklart,unknown,https://www.svt.se/nyheter/inrikes/faktiskt-oklart-om-stefan-lofven-ar-miljonar
mestadels fel,false,https://www.svt.se/nyheter/inrikes/kd-koerna-till-aldreboenden-okar
helt sant,true,https://www.svt.se/nyheter/inrikes/formedlar-arbetsformedlingen-mindre-an-15-procent-av-jobben
helt fel,false,https://www.svt.se/nyheter/inrikes/innebar-moderaternas-politik-att-vi-blir-provanstallda-pa-livstid
helt fel,false,https://www.svt.se/nyheter/inrikes/vill-moderaterna-sanka-lonerna
delvis sant,true,https://www.svt.se/kultur/faktakollen-kan-man-lamna-svenska-akademien
